,Gender,Married,Education,Fraud_risk
0,1,0,1,0
1,1,1,1,1
2,1,1,1,1
3,1,1,0,1
4,1,0,1,0
5,1,1,1,1
6,1,1,0,1
7,1,1,1,1
8,1,1,1,1
9,1,1,1,1
10,1,1,1,1
11,1,1,1,1
12,1,1,1,1
13,1,0,1,1
14,1,1,1,1
15,1,0,0,0
16,0,0,1,1
17,1,1,0,1
18,1,1,1,1
19,1,1,0,1
20,1,1,1,1
21,1,1,0,1
22,0,1,0,1
23,1,1,1,1
24,1,1,1,1
25,1,1,1,1
26,1,1,0,1
27,1,0,0,1
28,0,0,1,0
29,1,1,1,1
30,1,0,1,1
31,1,0,1,1
32,1,1,1,1
33,1,0,1,1
34,1,1,1,1
35,1,1,1,1
36,0,1,1,1
37,1,0,1,0
38,1,0,0,0
39,1,0,1,1
40,1,0,1,0
41,1,1,1,1
42,1,1,1,1
43,1,1,0,1
44,0,0,1,0
45,1,1,1,1
46,1,1,1,1
47,0,1,1,1
48,0,0,1,0
49,0,1,0,1
50,0,0,1,0
51,0,0,1,1
52,1,1,1,1
53,0,1,1,1
54,1,1,1,1
55,1,1,1,1
56,1,1,1,1
57,1,1,1,1
58,1,1,0,1
59,1,1,1,1
60,1,1,1,1
61,1,1,0,1
62,1,1,1,1
63,0,0,1,1
64,1,1,1,1
65,1,0,0,1
66,1,1,1,1
67,1,1,0,1
68,0,0,1,1
69,1,1,1,1
70,1,1,0,1
71,1,0,1,0
72,1,1,0,1
73,1,1,1,1
74,1,0,1,1
75,1,0,1,1
76,1,1,1,1
77,1,1,1,1
78,1,1,0,1
79,0,0,1,0
80,1,1,1,1
81,0,1,1,1
82,1,1,1,1
83,1,1,1,1
84,1,0,1,0
85,1,1,0,1
86,1,1,1,1
87,1,0,1,0
88,1,1,1,1
89,1,1,1,1
90,1,1,1,1
91,1,1,0,1
92,1,0,1,0
93,1,0,0,0
94,1,0,1,1
95,0,1,1,1
96,1,1,1,1
97,1,1,0,1
98,1,1,1,1
99,1,1,0,1
100,1,0,1,0
101,1,1,1,1
102,1,1,1,1
103,1,0,1,0
104,1,1,1,1
105,1,1,1,1
106,1,0,0,1
107,1,1,1,1
108,1,1,0,1
109,1,0,1,0
110,0,1,1,1
111,1,1,0,1
112,0,0,1,0
113,1,0,1,0
114,1,1,1,1
115,0,1,1,1
116,1,1,1,1
117,1,1,1,1
118,0,0,1,0
119,1,1,1,1
120,0,0,1,0
121,0,0,1,0
122,1,1,1,1
123,1,1,0,1
124,0,0,1,0
125,0,1,1,1
126,1,0,1,0
127,1,1,1,1
128,1,1,1,1
129,1,0,1,0
130,1,0,1,0
131,1,0,1,0
132,1,1,1,1
133,1,0,1,0
134,1,1,1,1
135,0,1,1,1
136,1,1,1,1
137,1,0,1,1
138,1,1,0,1
139,1,1,1,1
140,1,0,1,0
141,1,0,1,0
142,1,1,1,1
143,1,1,1,1
144,0,1,1,1
145,0,1,1,1
146,1,1,1,1
147,0,0,1,1
148,1,1,1,1
149,1,0,1,1
150,1,1,1,1
151,1,0,1,1
152,1,1,0,1
153,1,0,1,0
154,1,1,1,1
155,1,1,1,1
156,1,1,1,1
157,1,0,1,0
158,1,1,1,1
159,1,1,0,1
160,1,1,1,1
161,1,1,1,1
162,1,1,1,1
163,1,1,1,1
164,1,1,1,1
165,0,1,1,1
166,1,1,1,1
167,1,0,1,1
168,1,1,1,1
169,1,1,0,1
170,0,1,1,1
171,1,1,0,1
172,1,1,1,1
173,1,1,0,1
174,1,1,1,1
175,1,1,1,1
176,1,1,1,1
177,1,1,1,1
178,1,0,0,1
179,1,1,1,1
180,1,0,1,1
181,1,1,1,1
182,1,1,1,1
183,0,1,1,1
184,1,1,1,1
185,1,1,1,1
186,1,1,1,1
187,0,1,1,1
188,1,1,1,1
189,1,0,0,0
190,1,0,1,1
191,1,1,0,1
192,1,0,1,0
193,1,0,1,0
194,1,1,1,1
195,1,0,1,0
196,0,0,0,0
197,0,1,1,1
198,1,0,1,1
199,1,1,0,1
200,1,0,1,0
201,1,1,0,1
202,1,1,0,1
203,1,1,0,1
204,0,0,0,0
205,0,0,1,0
206,1,0,0,0
207,1,0,1,0
208,1,0,1,1
209,0,0,1,1
210,1,1,1,1
211,1,1,1,1
212,1,1,0,1
213,1,1,1,1
214,1,1,0,1
215,1,1,1,1
216,1,1,1,1
217,1,1,1,1
218,0,1,1,1
219,1,1,1,1
220,1,1,1,1
221,1,0,1,0
222,1,1,1,1
223,1,1,1,1
224,1,1,1,1
225,1,1,0,1
226,1,1,1,1
227,1,0,1,0
228,1,0,1,0
229,1,1,1,1
230,1,1,1,1
231,1,0,0,0
232,0,0,1,0
233,1,1,1,1
234,1,1,1,1
235,1,1,1,1
236,0,0,1,0
237,0,0,1,0
238,1,1,1,1
239,1,1,1,1
240,1,1,0,1
241,1,0,1,0
242,1,1,1,1
243,1,1,0,1
244,1,0,1,1
245,1,1,1,1
246,1,1,0,1
247,1,1,1,1
248,1,1,1,1
249,1,1,0,1
250,0,0,1,1
251,1,0,0,0
252,1,1,0,1
253,1,0,1,1
